rank_test_score,mean_test_score,std_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,mean_fit_time
93,0.5628521652345355,0.007657691785998124,500,5,0.1,0.7,0.8,1.3239685535430907
94,0.562826168948963,0.010469578670339085,300,7,0.1,0.7,0.7,0.9161582469940186
95,0.5627590486774732,0.007975762162952092,300,3,0.1,0.8,0.7,0.5646334171295166
96,0.5627444559008893,0.008817897356771288,500,3,0.1,0.7,0.9,1.1009623050689696
97,0.5627236090276643,0.0056849648244556945,200,5,0.05,0.9,0.9,0.4936875820159912
98,0.5626346355877991,0.005611302576188012,200,5,0.05,0.7,0.7,0.478624963760376
99,0.5625908859294283,0.006076334394951405,200,5,0.05,0.9,0.8,0.5902926921844482
100,0.5625032660035625,0.004917237563769036,100,5,0.1,0.9,0.8,0.24837636947631836
101,0.5624911640526292,0.014894763825105864,300,7,0.1,0.9,0.8,0.9200809955596924
102,0.5624796716704239,0.004938017581163934,200,5,0.05,0.8,0.7,0.5602626800537109
103,0.5624404777892915,0.008222303189062452,300,5,0.05,0.7,0.8,0.9265281200408936
104,0.5624171137063665,0.005491790245003782,100,7,0.05,0.7,0.8,0.3108992099761963
105,0.56234799379528,0.010029861363785628,300,3,0.1,0.7,0.9,0.7042852878570557
106,0.562309380120608,0.011415622816813553,500,5,0.1,0.8,0.9,1.4746442317962647
107,0.5622907591788475,0.008622059130879156,300,7,0.1,0.8,0.9,1.5921621322631836
108,0.5621976268749506,0.0044954577392898295,200,5,0.05,0.9,0.7,0.8416805267333984
109,0.5621540191392118,0.007306750519362688,100,5,0.1,0.8,0.7,0.23225622177124022
110,0.5621324261476771,0.008976876016018093,100,5,0.1,0.8,0.9,0.26526384353637694
111,0.5621123278642488,0.006303671326851907,500,5,0.1,0.7,0.7,1.5657280921936034
112,0.5620920140509057,0.010904122954380289,500,5,0.1,0.9,0.8,1.138759469985962
113,0.5620460859548364,0.009101428856977479,200,7,0.1,0.7,0.8,0.7868075370788574
114,0.5620375839553478,0.010168904356604598,200,7,0.1,0.9,0.9,0.6211047649383545
115,0.5620312603646516,0.010739827990607125,500,3,0.05,0.7,0.8,1.1214797496795654
116,0.5620099198433345,0.010154481949113977,200,5,0.1,0.9,0.8,0.6305830001831054
117,0.5619706437932412,0.0071441476954093525,300,7,0.1,0.9,0.9,0.9503154754638672
118,0.5618571273528856,0.00602719888078388,100,5,0.1,0.9,0.7,0.2787281036376953
119,0.5618360584323294,0.007382210063461915,500,3,0.05,0.9,0.8,1.1214346885681152
120,0.5618143753989162,0.008311182279247264,300,3,0.1,0.9,0.8,0.7389888286590576
121,0.56180686174348,0.007860730426387236,500,3,0.05,0.8,0.7,0.9690229892730713
122,0.5617685769739029,0.009272159059254437,200,3,0.1,0.8,0.7,0.42157535552978515
123,0.5617677876404283,0.005347899698231243,100,7,0.1,0.8,0.9,0.33109869956970217
124,0.5617288381699782,0.007189459026899298,500,7,0.01,0.8,0.8,1.956421136856079
125,0.5617121327943295,0.0077902304231935015,500,3,0.05,0.9,0.9,0.8914380073547363
126,0.561630739263133,0.009617724882038955,300,3,0.1,0.9,0.9,0.5536013603210449
127,0.5615783366744297,0.004756230579790029,500,7,0.01,0.9,0.7,1.8114983558654785
128,0.5615365610294989,0.008883092787640719,300,5,0.1,0.7,0.7,0.96211256980896
129,0.5615226055825981,0.006187017415982012,200,5,0.1,0.7,0.7,0.4925515651702881
130,0.5615094058116735,0.007149215646380368,500,7,0.01,0.7,0.7,1.5603623390197754
131,0.5614946056846166,0.00821140774227098,300,3,0.1,0.7,0.8,0.7224850654602051
132,0.5614792359905618,0.008860664401343856,300,3,0.1,0.8,0.8,0.563605546951294
133,0.5614703599538426,0.00890471819413342,200,3,0.1,0.7,0.8,0.36536412239074706
134,0.5614235172582946,0.00517318431173064,100,5,0.1,0.7,0.8,0.2607892513275146
135,0.5614143786331814,0.005885211756416065,500,7,0.01,0.7,0.9,2.012812948226929
136,0.5614040917514338,0.00775539199178382,300,3,0.05,0.7,0.8,0.7343643188476563
137,0.5613161823336459,0.013314353047423953,500,7,0.05,0.8,0.8,2.1639331340789796
138,0.5613088623391482,0.008374595932307565,500,3,0.05,0.7,0.9,0.9311015605926514
139,0.561297228379712,0.006604728454102488,500,7,0.01,0.8,0.9,2.1007806777954103
140,0.5612802975104041,0.00722837990585412,100,7,0.05,0.8,0.7,0.34653434753417967
141,0.5611531174997664,0.008368118558741446,300,3,0.05,0.8,0.7,0.6987969398498535
142,0.5611439443395007,0.00815517833961978,200,3,0.1,0.7,0.9,0.37268943786621095
143,0.5611103232270223,0.004647889517256043,300,7,0.1,0.8,0.7,1.062769317626953
144,0.5610367975340008,0.00487445887811356,200,3,0.1,0.9,0.7,0.43796734809875487
145,0.5608634369976564,0.008119360598748666,200,5,0.05,0.7,0.8,0.4610945701599121
146,0.5608527897171245,0.008433630567004233,100,7,0.05,0.8,0.9,0.3239253044128418
147,0.5608298955055565,0.008038642375581238,300,7,0.01,0.9,0.7,1.0071091175079345
148,0.5607821872828042,0.004744605616850812,200,7,0.1,0.7,0.9,0.9370081424713135
149,0.5607206362209879,0.007610860593192092,300,3,0.05,0.8,0.8,0.5359584808349609
150,0.5606258765019237,0.0068824139431636995,200,3,0.1,0.9,0.9,0.4043313980102539
151,0.5605674993468149,0.008573671077699536,200,3,0.1,0.8,0.8,0.50198392868042
